#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-01-31T06:00:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56ada2c5a991	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/ApJS/141/503/table1
#-nav=cat:J/ApJS/141/503&tab:{J/ApJS/141/503/table1}&key:source=J/ApJS/141/503/table1&HTTPPRM:&&-ref=VIZ56ada2c5a991&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-ignore=Simbad=*&Simbad=Simbad&-out=Date&-out=<RV>&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/141/503/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/141/503/table1
#-order=I
#-out=Name
#-out=Date
#-out=<RV>
#

#RESOURCE=yCat_21410503
#Name: J/ApJS/141/503
#Title: Radial Velocities for 889 late-type stars (Nidever+, 2002)
#Table	J_ApJS_141_503_table1:
#Name: J/ApJS/141/503/table1
#Title: Radial velocities of stable stars with RMS<100m/s
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(a12)	Primary name	[ucd=meta.id;meta.main]
#Column	Date	(I7)	Mean time of observation	[ucd=time.epoch]
#Column	<RV>	(I7)	Mean barycentric radial velocity	[ucd=phys.veloc;pos.barycenter]
_RAJ2000	_DEJ2000	Name	Date	<RV>
250.2297	+64.5890	HD 151101   	2451551	  -1329
251.2765	+33.5092	HD 151288   	2450162	 -31357
250.6607	+68.1022	HD 151541   	2451067	   9475
252.1480	+37.0134	HD 151877   	2451082	   2033
252.5220	+18.9004	HD 151995   	2451145	  -5557
253.2450	-00.0264	HD 152391   	2450746	  45066
253.1714	+18.0621	HD 152446   	2451142	 -42504
253.3847	+42.8249	HD 152792   	2451093	   4759
255.0069	-07.5317	HD 153458   	2451258	    641
255.0682	+10.8228	HD 153627   	2451306	  -1462
255.2422	+22.6321	HD 153834   	2451446	  10821
256.1160	-28.5827	HD 154088   	2451071	  14180
255.6517	+47.0819	HD 154345   	2451103	 -46930
256.2641	-05.0665	HD 154363   	2451178	  34146
256.3201	+00.7026	HD 154417   	2451331	 -16739
256.9826	+32.1055	HD 155060   	2451175	 -10542
257.8441	+04.6903	HD 155423   	2451367	 -33561
259.0557	-26.5461	HD 156026   	2451367	    153
259.5297	-24.0730	HD 156365   	2451089	 -13136
259.6541	+10.8645	HD 156681   	2451427	  38842
259.9981	-05.9175	HD 156826   	2451267	 -32634
260.1649	+32.4677	HD 157214   	2448668	 -78546
261.0364	-34.7984	HD 157338   	2451072	 -24315
260.7137	-02.3882	HD 157347   	2451256	 -35901
260.6152	+24.8794	HD 157466   	2451399	  34125
260.9901	+08.8526	HD 157617   	2451455	  13119
261.4385	+02.1114	HD 157881   	2451130	 -23199
262.9755	+16.8240	HD 159063   	2451179	  -6385
263.0041	+34.2711	HD 159222   	2451144	 -51605
263.2802	+41.2434	HD 159501   	2451470	 -30123
264.2092	+10.5745	HD 159909   	2451212	 -76809
264.9036	+37.1838	HD 160693   	2451076	  34084
266.6325	-07.9857	HD 161555   	2451123	  72021
266.9254	+04.9396	HD 161848   	2451064	 -94929
267.8084	+40.0725	HD 162826   	2451216	   1848
268.6243	-03.4625	HD 163102   	2451093	 -26920
268.7403	-07.7339	HD 163153   	2451234	 -73024
269.0496	+04.8336	HD 163489   	2451135	 -49364
270.2386	+15.0936	HD 164507   	2451265	   5370
270.1621	+29.5719	HD 164595   	2451249	   2020
270.6286	+26.3130	HD 164922   	2451196	  20248
271.2816	-03.0313	HD 165222   	2450299	  32671
271.5633	-04.7513	HD 165438   	2451457	 -26747
271.1800	+40.0842	HD 165567   	2451202	   3853
272.0207	-28.4571	HD 165634   	2451394	  -4867
271.4567	+32.2307	HD 165683   	2451426	   -546
272.4059	+38.4578	HD 166620   	2449370	 -19418
273.2801	+41.4754	HD 167389   	2451254	  -5545
273.8853	+45.2093	HD 168009   	2451329	 -64595
275.3275	-02.8988	HD 168723   	2448930	   9371
275.4574	-11.9227	HD 168746   	2452060	 -25603
275.7043	+17.8266	HD 169191   	2451414	 -19268
276.9562	-29.8169	HD 169830   	2452036	 -17304
276.9781	+06.6001	HD 170174   	2451177	 -28841
277.2958	+11.6955	HD 170469   	2451954	 -59423
277.4684	-01.8181	HD 170493   	2451147	 -54752
277.8290	-18.9088	HD 170657   	2450812	 -43131
277.2664	+43.9393	HD 170778   	2451307	 -22670
278.0436	+13.7366	HD 171067   	2451058	 -46252
279.3035	-25.6713	HD 171665   	2451040	 -23259
279.4276	-07.3367	HD 171918   	2451902	 -67256
279.7225	-21.0519	HD 172051   	2451149	  37103
279.5671	+28.9254	HD 172310   	2451189	  30997
280.5098	-34.4663	HD 172513   	2451397	 -11545
279.9255	+37.9931	HD 172649   	2451016	 -11419
281.1463	+43.8333	HD 173701   	2451071	 -45602
280.6945	+59.6304	HD 173739   	2451078	   -834
280.6954	+59.6268	HD 173740   	2451078	   1187
281.8635	-03.6398	HD 173818   	2451499	  15544
282.8549	+38.6266	HD 174912   	2451301	 -13083
283.5004	-21.3598	HD 174947   	2451424	  -7100
283.9203	+04.2653	HD 175541   	2451075	  19698
284.1549	+04.2651	HD 175726   	2451025	  10277
284.7125	+30.1806	HD 176377   	2451232	 -40611
285.6850	-00.7112	HD 176982   	2451037	  -6793
285.4153	+41.4901	HD 177153   	2451290	 -14953
286.3366	+25.9207	HD 177830   	2451183	 -72173
288.8884	-24.1794	HD 179949   	2451940	 -24662
288.0196	+49.8541	HD 179957   	2451072	 -41822
288.0210	+49.8558	HD 179958   	2451029	 -41158
289.2302	+05.1689	HD 180617   	2449359	  35880
289.2024	+18.9763	HD 180684   	2451542	  -2615
290.0004	-09.3236	HD 181234   	2451510	 -46783
289.9125	+37.3305	HD 181655   	2451249	   2036
290.8917	+33.2220	HD 182488   	2451022	 -21508
291.2425	+11.9444	HD 182572   	2451151	-100292
292.1933	+11.0270	HD 183341   	2451206	 -40888
292.3394	+31.6087	HD 183650   	2451075	  -9744
292.7197	-06.5144	HD 183658   	2451228	  58176
293.0279	-11.2749	HD 183870   	2451295	 -48864
293.3565	+21.8403	HD 184385   	2451106	  11406
293.0900	+69.6612	HD 185144   	2449977	  26691
294.5665	+05.0071	HD 185295   	2451135	 -18575
294.1582	+44.6949	HD 185351   	2451426	  -5886
295.1880	-07.5123	HD 185720   	2451027	  15992
295.4540	+50.5251	HD 186408   	2449256	 -27377
295.4665	+50.5175	HD 186427   	2448634	 -27871
296.7421	+34.4195	HD 187123   	2451032	 -16954
297.0037	+27.8695	HD 187237   	2451223	 -32962
298.0391	+07.4600	HD 187897   	2451243	 -37568
298.0143	+11.6283	HD 187923   	2450926	 -20611
298.0189	+28.1004	HD 188015   	2451987	     68
298.7903	+10.7409	HD 188510   	2451563	-192444
298.8283	+06.4068	HD 188512   	2448769	 -40109
299.3324	+24.0882	HD 189067   	2451119	 -10922
300.3867	-16.8690	HD 189625   	2451268	 -28218
300.6960	+03.3262	HD 190007   	2451225	 -30303
300.6423	+15.5921	HD 190067   	2451009	  20385
300.9059	+29.8968	HD 190360   	2451189	 -45308
300.9672	+23.3407	HD 190404   	2450990	  -2527
301.4185	+48.5668	HD 191022   	2451093	 -12842
302.7753	+16.1880	HD 191785   	2450947	 -49286
302.8547	+38.4001	HD 192020   	2451118	 -11366
303.4994	-00.8669	HD 192263   	2451346	 -10738
303.5382	+06.5772	HD 192343   	2451781	   -526
303.5407	+06.5890	HD 192344   	2452075	   -451
304.5417	-04.7287	HD 193017   	2451084	  15584
302.7184	+77.2390	HD 193202   	2451355	  -1623
305.3135	+28.1068	HD 193795   	2451976	   6921
305.8994	-21.3706	HD 193901   	2451593	-171455
305.6876	+19.8500	HD 194035   	2451252	  16665
306.8622	-02.1195	HD 194766   	2451101	 -15131
307.2988	+04.4566	HD 195104   	2451022	 -14936
308.0987	-09.8534	HD 195564   	2451141	   9535
308.8593	+11.3571	HD 196201   	2451431	 -19821
310.0490	-23.7739	HD 196761   	2451023	 -41987
309.6675	+38.6351	HD 196850   	2451196	 -21045
309.9661	+11.2496	HD 196885   	2451152	 -30189
310.1881	+19.9355	HD 197076   	2451035	 -35409
310.0132	+43.4589	HD 197139   	2451437	 -24024
311.9078	+12.9862	HD 198089   	2451158	 -33434
313.2733	-11.5737	HD 198802   	2451104	  -3171
313.3325	+62.1544	HD 199305   	2451164	 -17161
312.9373	+74.7803	HD 199476   	2451040	 -30230
314.4153	+26.4051	HD 199598   	2451354	 -25301
315.1410	-04.7303	HD 199960   	2451054	 -17605
316.2705	-32.8262	HD 200538   	2450991	  15377
316.2831	+07.9454	HD 200746   	2451408	  13807
316.7248	+38.7494	HD 201091   	2447369	 -65726
316.7303	+38.7421	HD 201092   	2448258	 -64023
318.2402	+30.8095	HD 202108   	2451258	   2502
318.9882	+25.4338	HD 202573   	2450823	 -26179
319.1353	+09.3938	HD 202575   	2451175	 -18065
319.5124	+00.1616	HD 202751   	2451054	 -27427
320.5017	+49.3888	HD 203644   	2451436	  -4356
322.5115	-12.5101	HD 204587   	2451004	 -84186
325.1794	+28.7557	HD 206332   	2451254	 -44542
325.4321	+06.4208	HD 206387   	2451807	  -7761
326.1300	+14.7789	HD 206860   	2448929	 -16833
327.7157	+32.6714	HD 207804   	2450636	 -14848
328.0272	+01.9064	HD 207874   	2451243	 -26702
328.6877	+32.3286	HD 208313   	2451509	 -13251
329.7291	-04.3731	HD 208801   	2450595	 -50179
330.2709	+00.6047	HD 209128   	2451432	   8115
330.5428	+01.4002	HD 209290   	2451425	  18363
330.7950	+18.8844	HD 209458   	2451586	 -14759
331.4198	+05.0585	HD 209747   	2451404	 -18889
331.2972	+26.6737	HD 209761   	2451443	 -28712
331.6382	+01.8571	HD 209875   	2451208	 -40896
332.3744	-07.5487	HD 210277   	2450756	 -20873
332.5366	-32.5484	HD 210302   	2451472	 -16259
332.5499	-04.9288	HD 210392   	2451972	  -1496
332.5793	+19.6163	HD 210460   	2450843	  20429
332.7996	+36.2563	HD 210667   	2451175	 -19443
333.1814	-06.4689	HD 210752   	2451157	  57225
333.0337	+24.9506	HD 210762   	2451438	  -8799
333.6592	-15.8185	HD 211038   	2450807	  10407
336.8797	-31.5542	HD 212801   	2451021	  -8475
337.2833	+09.1290	HD 213119   	2451407	 -30288
337.7739	+45.1451	HD 213519   	2451247	 -31630
338.1419	-06.4672	HD 213575   	2451282	 -21544
338.3779	-35.4445	HD 213628   	2450939	 -50445
339.5485	+45.8278	HD 214557   	2451177	 -38534
340.1808	-29.6745	HD 214749   	2450984	      1
340.1286	+44.2763	HD 214868   	2451404	 -10881
340.4894	+14.5164	HD 214995   	2451439	 -28855
340.8388	-06.4008	HD 215152   	2451345	 -13795
341.6733	+12.1729	HD 215648   	2448320	  -5856
342.8598	+13.9700	HD 216259   	2450981	   1291
343.5309	+19.8920	HD 216625   	2451020	  10993
343.5291	+40.3769	HD 216646   	2451435	  -7670
344.1450	+16.5534	HD 216899   	2451166	 -27317
344.4508	-26.1082	HD 217004   	2451015	    371
344.3666	+20.7688	HD 217014   	2450005	 -33225
344.5648	-02.3954	HD 217107   	2451199	 -13399
344.6245	+09.8255	HD 217165   	2451496	  15391
345.0672	-22.5243	HD 217357   	2451087	  16420
345.1788	+03.0118	HD 217459   	2451446	  18630
345.3821	-04.7115	HD 217563   	2451448	   4661
345.4037	+36.9853	HD 217618   	2451515	 -12730
345.7707	+20.9186	HD 217813   	2451423	   2030
345.9886	-04.7949	HD 217877   	2451182	 -12676
346.4668	-35.8531	HD 217987   	2451139	   8809
345.8870	+67.2092	HD 218029   	2451427	  -8708
346.3798	+14.4517	HD 218133   	2451147	 -48799
346.2754	+68.4171	HD 218209   	2451114	 -15895
347.2947	-02.2607	HD 218566   	2451028	 -37804
347.6030	-07.8120	HD 218730   	2451160	   2009
347.4953	+47.9594	HD 218739   	2451006	  -5681
347.6777	+17.5944	HD 218792   	2451423	   2548
347.7087	+45.5123	HD 218868   	2451193	 -30622
348.3207	+57.1684	HD 219134   	2450206	 -18558
348.4510	+15.3676	HD 219172   	2451137	  -2828
349.0757	+30.6702	HD 219538   	2451096	   9990
349.7773	-13.4550	HD 219834B  	2451301	  10782
349.9928	+28.8678	HD 219953   	2450989	 -48118
350.7704	-10.7642	HD 220339   	2451132	  34001
352.0216	-11.4498	HD 220957   	2450427	 -81264
352.3763	-01.0359	HD 221146   	2451100	 -15137
352.8425	+59.1655	HD 221354   	2451410	 -25113
352.8813	-04.0874	HD 221356   	2450925	 -12713
353.8704	+31.0172	HD 221830   	2451211	-112299
354.2776	+30.6780	HD 222033   	2451195	 -13088
354.4937	+46.1994	HD 222143   	2451152	   -169
354.9877	+05.6263	HD 222368   	2447945	   5656
355.4647	-05.9858	HD 222582   	2451315	  12067
356.9683	+04.1755	HD 223238   	2451216	 -15420
357.5239	+02.8772	HD 223498   	2451031	 -23985
357.6387	-14.4015	HD 223559   	2451465	 -62839
357.9528	-33.4525	HD 223691   	2450999	   1656
358.2105	-08.9968	HD 223807   	2451483	 -15825
358.8851	+03.5014	HD 224156   	2451482	  14883
359.3897	-09.6475	HD 224383   	2451146	 -31205
001.1749	+67.1664	HD 225216   	2451476	 -28860
001.2347	+23.2696	HD 225261   	2451105	   7511
285.1806	+19.0746	HD 230409   	2451578	  -2238
288.8098	+19.6093	HD 230999   	2451930	 -81527
069.4205	+52.8936	HD 232979   	2451693	  34401
142.6505	+52.7900	HD 233641   	2451935	  36182
336.9978	+57.6959	HD 239960   	2451146	 -33937
084.1291	+11.3279	HD 245409   	2451002	  22046
099.2950	+17.5648	HD 260655   	2451181	 -58178
103.7040	+33.2682	HD 265866   	2450225	  22914
061.5490	+32.9509	HD 281540   	2451515	 110217
070.7324	+18.9582	HD 285968   	2451238	  26219
286.7732	+20.8880	HD 349726   	2451304	  32407
001.2954	+45.7866	GJ 2        	2452055	   -240
001.4209	+45.8121	GJ 4A       	2451979	   1669
001.4213	+45.8106	GJ 4B       	2452067	  -1655
004.2766	+40.9483	GJ 14       	2449537	   2957
009.7460	+30.6162	GJ 26       	2452030	   -347
015.3315	+61.3668	GJ 47       	2451852	   7574
015.6343	+71.6798	GJ 48       	2451159	   1500
015.6619	+62.3450	GJ 49       	2451083	  -5966
018.1277	-16.9990	GJ 54.1     	2451263	  28089
025.8341	+04.3217	GJ 70       	2451867	 -25883
030.0544	+13.0515	GJ 83.1     	2451566	 -28567
035.5610	+47.8800	GJ 96       	2451890	 -37941
041.0492	+49.2286	GJ 107B     	2449713	  25765
041.0646	+25.5234	GJ 109      	2451522	  30568
058.6478	-06.8260	GJ 156      	2450978	  62597
069.4244	-11.0389	GJ 173      	2451788	  -6768
092.5827	+82.1068	GJ 226      	2451126	  -1622
111.8521	+05.2258	GJ 273      	2450129	  18216
112.2574	+31.9938	GJ 273.1    	2451155	  -3951
144.0068	-21.6608	GJ 357      	2451204	 -34581
145.2932	+13.2096	GJ 361      	2451753	  11511
145.7155	+70.0394	GJ 362      	2451777	   6606
149.0361	+62.7885	GJ 373      	2451703	  15493
153.0736	-03.7457	GJ 382      	2451053	   7932
154.9011	+19.8700	GJ 388      	2449343	  12420
156.2952	-10.2287	GJ 390      	2451818	  21590
157.2315	+00.8410	GJ 393      	2451020	   8335
157.8509	+45.5261	GJ 397      	2451323	  21052
162.7169	+06.8081	GJ 402      	2451776	  -1042
164.1208	+07.0144	GJ 406      	2451316	  19482
165.0177	+22.8330	GJ 408      	2451133	   3151
166.3691	+43.5268	GJ 412A     	2450386	  68886
167.3806	-24.5986	GJ 413.1    	2451759	  -3830
170.0201	+65.8465	GJ 424      	2451796	  60401
173.8623	-32.5400	GJ 433      	2451419	  17973
175.5462	+26.7066	GJ 436      	2451778	   9607
176.9224	+78.6912	GJ 445      	2451227	-111654
176.9350	+00.8046	GJ 447      	2451362	 -31087
177.7806	+35.2720	GJ 450      	2451247	    273
186.2188	-18.2423	GJ 465      	2451764	  51174
191.9859	+09.7514	GJ 486      	2451146	  19090
202.4991	+10.3772	GJ 514      	2451085	  14556
204.3699	+35.7178	GJ 519      	2451827	 -14557
207.2662	+26.9797	GJ 528B     	2451519	 -22896
217.7548	-12.2961	GJ 553.1    	2451882	  -1756
218.5700	-12.5196	GJ 555      	2451496	  -1453
223.6218	+16.1011	GJ 569      	2449424	  -7209
229.8618	-07.7223	GJ 581      	2451498	  -9398
243.3262	+13.5289	GJ 615.1B   	2451244	  18427
246.3526	+54.3041	GJ 625      	2451224	 -13034
247.5752	-12.6626	GJ 628      	2451759	 -21222
254.5369	+25.7442	GJ 649      	2452002	   4316
259.7446	-34.9968	GJ 667C     	2451982	   6353
259.9696	+41.7138	GJ 671      	2452056	 -19528
262.5947	+05.5485	GJ 678.1A   	2451218	 -12457
264.4723	+18.5917	GJ 686      	2451149	  -9515
264.1079	+68.3391	GJ 687      	2451173	 -28779
265.9832	+43.3786	GJ 694      	2451250	 -14269
269.4521	+04.6934	GJ 699      	2450418	-110506
282.4557	-23.8362	GJ 729      	2451397	 -10499
286.8050	+20.8770	GJ 745B     	2451304	  32171
307.6335	+65.4496	GJ 793      	2451209	  10599
311.2671	+44.4991	GJ 806      	2449736	 -24702
317.3226	-13.3025	GJ 821      	2452001	 -58267
332.4181	-04.6407	GJ 849      	2450972	 -15256
355.4799	+44.1772	GJ 905      	2451248	 -77949
357.3022	+02.4012	GJ 908      	2450076	 -71147
003.8671	-16.1338	GJ 1005     	2451044	 -26425
175.4360	+42.7520	GJ 1148     	2451834	  -9095
124.0333	+01.3026	GJ 2066     	2451042	  62205
266.5526	-32.1036	GJ 2130A    	2452007	 -28990
030.3917	+63.7700	GJ 3126     	2451872	 -84115
182.8212	-19.9717	GJ 3709B    	2451786	  -9226
206.4613	-17.9682	GJ 3804     	2451910	   4969
228.1824	+19.2924	GJ 3897B    	2451213	 -38829
257.8948	+38.4428	GJ 3992     	2451928	 -44443
274.5173	+38.7761	GJ 4048A    	2451994	    477
277.9917	+40.6867	GJ 4062     	2451940	 -19003
278.6500	+40.1267	GJ 4063     	2451519	  12495
280.4960	+31.8305	GJ 4070     	2452021	 -31764
287.1250	+32.2800	GJ 4098     	2452025	  -1730
350.4060	+17.2904	GJ 4333     	2452042	  -6507
220.6167	+66.0333	GJ 9492     	2451184	  18704
002.4652	+08.4532	HIP    795  	2451419	  14685
016.0255	-34.6747	HIP   5004  	2451865	  45733
033.6679	-01.2014	HIP  10449  	2451481	  28116
051.2098	+12.2566	HIP  15904  	2451668	  86739
162.4047	+12.9292	HIP  52942  	2451425	  24574
182.7990	-19.9606	HIP  59406  	2451745	  -9100
245.8621	-11.5946	HIP  80295  	2451455	 -17315
273.0912	+05.4012	HIP  89215  	2451795	  -1050
313.1376	-16.9747	HIP 103039  	2451239	  16300
313.8198	+42.3002	HIP 103269  	2451531	-130673
324.8173	+60.2838	HIP 106924  	2451640	-244634
307.0996	+18.7747	BD +18 4505C	2451999	 -89693
164.6199	-10.7704	BD -10 3166 	2451499	  26679
141.4292	-06.7733	G 161-29    	2451448	  22370
153.1440	+57.0641	G 195-59    	2451782	  -3451
187.0042	+07.4583	G 60-06     	2451418	 -18105

